Participant nr,NR,Created,Modified,I have read and understood the information about the study and all the information in this form is explained to me and I am willing to participate,I want to participate.,I sometimes find it difficult to see things from the ‘other guy’s’ point of view.,"I am usually objective when I watch a film or play, and I don’t often get completely caught up in it.",I try to look at everybody’s side of a disagreement before I make a decision.,I sometimes try to understand my friends better by imagining how things look from their perspective.,"When I am upset at someone, I usually try to ‘put myself in his shoes for a while.","Before criticising somebody, I try to imagine how I would feel if I was in their place.",I often get emotionally involved with my friends’ problems.,I am inclined to get nervous when others around me seem to be nervous.,People I am with have a strong influence on my mood.,It affects me very much when one of my friends seems upset.,"I often get deeply involved with the feelings of a character in a film, play or novel.",I get very upset when I see someone cry.,I am happy when I am with a cheerful group and sad when the others are glum.,It worries me when others are worrying and panicky.,I can easily tell if someone else wants to enter a conversation.,I can pick up quickly if someone says one thing but means another.,It is hard for me to see why some things upset people so much.,I find it easy to put myself in somebody elses shoes.,I am good at predicting how someone will feel.,I am quick to spot when someone in a group is feeling awkward or uncomfortable.,Other people tell me I am good at understanding how they are feeling and what they are thinking.,I can easily tell if someone else is interested or bored with what I am saying.,Friends talk to me about their problems as they say that I am very understanding.,"I can sense if I am intruding, even if the other person does not tell me.",I can easily work out what another person might want to talk about.,I can tell if someone is masking their true emotion.,I am good at predicting what someone will do.,"I can usually appreciate the other persons viewpoint, even if I do not agree with it.",I usually stay emotionally detached when watching a film.,I always try to consider the other fellows feelings before I do something.,Before I do something I try to consider how my friends will react to it.,I feel frustrated when I cannot communicate my ideas.,I complete the sentences of other people when they find it difficult to communicate their ideas to help them.,"If someone is suffering from stutter, I prefer speaking rather than texting.",I try to be patient when people speak with me very slowly.,"In a situation, when there are handicapped students in a classroom, the pace of the class should be adapted to the handicapped student.","In a situation, when there are only one handicapped student in a classroom, the pace of the class should be adapted to him/her independently of how many students are in the class.","I feel impatient when people communicate slowly, so I complete other people’s sentences to make the communication more efficient.",I believe that the handicapped students should catch the pace of the group in a classroom to not delay the progress of other students.,I feel left out (or excluded) when I cannot participate in a conversation.,Total Score extended,Total Score original,Elapsed time
60,15912233,17.09.2021 15:04,17.09.2021 15:04,Yes,Proceed,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,1,3,2,1,1,1,3,2,2,3,3,3,2,80,60,7 minutes 52 seconds
61,9534500,24.09.2020 16:00,24.09.2020 16:00,Yes,Proceed,1,3,4,4,4,4,4,3,3,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,1,4,4,4,1,2,4,137,109,5 minutes 5 seconds
62,9597659,30.09.2020 15:14,30.09.2020 15:14,Yes,Proceed,2,2,4,4,4,4,3,3,4,4,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3,3,4,2,4,3,3,4,2,2,127,100,5 minutes 55 seconds
63,9637453,01.10.2020 16:20,01.10.2020 16:20,Yes,Proceed,4,1,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,2,2,2,4,3,3,3,4,2,3,3,3,2,3,3,2,123,98,6 minutes 49 seconds
64,9732460,06.10.2020 16:45,06.10.2020 16:45,Yes,Proceed,2,3,3,3,2,4,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,3,4,3,3,3,3,1,2,3,4,1,4,2,3,4,3,2,4,2,120,95,8 minutes 39 seconds
65,9732853,06.10.2020 17:24,06.10.2020 17:24,Yes,Proceed,2,3,4,3,3,4,4,2,2,3,3,3,3,1,4,4,3,3,4,4,4,4,4,3,3,4,3,1,3,3,3,4,2,3,4,2,1,4,3,4,124,97,7 minutes 27 seconds
66,9742794,07.10.2020 16:23,07.10.2020 16:23,Yes,Proceed,2,2,4,3,4,3,4,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,4,3,3,3,3,3,2,3,3,3,3,1,3,4,2,2,3,3,119,95,9 minutes 39 seconds
67,9957985,20.10.2020 14:57,20.10.2020 14:57,Yes,Proceed,1,2,2,3,2,4,3,2,2,1,4,2,3,3,2,2,1,3,2,2,3,3,3,2,2,3,2,1,3,3,2,3,2,2,2,3,2,4,3,3,97,73,5 minutes 49 seconds
68,9981681,21.10.2020 14:13,21.10.2020 14:13,Yes,Proceed,1,3,1,3,1,1,3,3,1,3,4,3,3,3,1,1,3,2,2,3,2,3,2,4,3,3,3,3,3,3,2,3,3,4,2,2,2,1,1,4,98,76,9 minutes 35 seconds
69,10176722,29.10.2020 14:01,29.10.2020 14:01,Yes,Proceed,2,2,2,4,2,1,4,2,4,2,2,3,4,3,2,2,1,3,2,3,3,3,2,2,3,3,3,1,3,3,2,4,3,1,3,2,1,2,3,2,99,78,7 minutes 45 seconds
70,10187952,29.10.2020 22:29,29.10.2020 22:29,Yes,Proceed,1,3,3,3,3,3,2,2,2,2,3,2,2,3,2,3,2,2,1,3,3,3,2,2,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,3,100,76,4 minutes 45 seconds
71,10188835,30.10.2020 00:46,30.10.2020 00:46,Yes,Proceed,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,2,4,4,151,117,5 minutes 9 seconds
72,10188148,29.10.2020 22:46,29.10.2020 22:46,Yes,Proceed,3,3,4,4,3,3,3,4,4,4,3,3,4,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3,3,3,3,2,2,124,97,4 minutes 11 seconds
73,10961022,25.11.2020 15:58,25.11.2020 15:58,Yes,Proceed,2,3,3,3,3,3,3,3,2,3,3,3,4,4,3,2,3,3,3,3,2,3,2,3,3,3,2,3,2,3,4,4,3,3,3,4,3,2,2,4,117,89,9 minutes 16 seconds
74,10962916,25.11.2020 16:05,25.11.2020 16:05,Yes,Proceed,1,2,3,4,4,4,4,4,4,4,4,4,4,3,3,4,1,3,3,4,3,3,3,3,4,3,3,4,2,4,3,3,4,1,4,4,4,1,1,4,128,102,3 minutes 24 seconds
75,12241678,03.02.2021 11:56,03.02.2021 11:56,Yes,Proceed,1,2,3,4,4,4,3,4,4,4,4,4,4,4,3,3,2,4,4,4,4,3,4,4,3,3,3,4,3,4,3,4,4,2,3,4,4,2,3,4,137,107,6 minutes 11 seconds
76,12248357,03.02.2021 16:30,03.02.2021 16:30,Yes,Proceed,2,2,3,2,2,3,3,2,3,3,4,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,2,2,3,106,84,3 minutes 20 seconds
77,12243811,03.02.2021 13:21,03.02.2021 13:21,Yes,Proceed,1,1,4,4,4,4,4,4,4,3,4,4,4,4,3,3,1,1,3,4,4,4,3,3,3,1,2,3,1,4,4,4,4,2,3,4,3,1,3,3,123,96,4 minutes 12 seconds
78,12295915,06.02.2021 21:33,06.02.2021 21:33,Yes,Proceed,2,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,4,3,2,3,3,3,3,3,3,3,3,3,2,2,3,111,86,4 minutes 37 seconds
79,12286221,05.02.2021 15:40,05.02.2021 15:40,Yes,Proceed,2,3,2,4,2,4,3,2,1,3,2,3,4,3,4,4,2,1,3,4,4,3,4,2,1,3,1,3,3,1,1,4,4,2,4,3,2,3,4,4,112,82,8 minutes 47 seconds
80,12295918,06.02.2021 21:33,06.02.2021 21:33,Yes,Proceed,2,3,4,4,4,4,3,3,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,2,4,3,4,2,4,4,4,4,3,4,4,4,3,2,4,142,110,5 minutes 55 seconds
81,12309725,08.02.2021 12:24,08.02.2021 12:24,Yes,Proceed,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,3,3,3,3,3,2,3,2,3,4,2,3,3,3,3,4,4,2,3,3,3,114,86,5 minutes 20 seconds
82,12310069,08.02.2021 12:33,08.02.2021 12:33,Yes,Proceed,1,2,3,3,2,4,4,3,4,4,3,3,3,3,4,3,2,2,3,3,3,4,4,3,3,3,3,3,1,3,4,4,4,1,4,4,4,3,4,4,125,93,5 minutes 16 seconds
83,12362359,10.02.2021 13:02,10.02.2021 13:02,Yes,Proceed,4,3,4,4,4,3,3,3,4,3,4,4,3,2,4,3,4,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,3,4,4,3,141,108,3 minutes 20 seconds
84,12363462,10.02.2021 13:52,10.02.2021 13:52,Yes,Proceed,2,2,3,3,3,3,3,3,2,3,4,4,3,3,3,3,2,3,3,4,4,4,4,3,3,2,3,3,3,3,2,4,3,1,4,4,1,3,4,3,120,93,12 minutes 15 seconds
85,12374635,11.02.2021 10:57,11.02.2021 10:57,Yes,Proceed,4,4,2,2,3,3,4,3,4,3,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,2,3,4,2,2,4,4,1,1,2,2,1,3,4,120,98,10 minutes 23 seconds
86,12446789,17.02.2021 11:43,17.02.2021 11:43,Yes,Proceed,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,111,85,17 minutes 22 seconds
87,12457796,17.02.2021 15:45,17.02.2021 15:45,Yes,Proceed,1,2,3,4,2,4,3,3,3,3,4,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,1,3,4,3,112,88,6 minutes 19 seconds
88,12454564,17.02.2021 15:32,17.02.2021 15:32,Yes,Proceed,2,3,3,3,2,3,3,2,3,3,3,3,2,2,3,4,1,3,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,2,3,3,4,3,2,3,109,83,1 minute 57 seconds
89,12523865,18.02.2021 13:12,18.02.2021 13:12,Yes,Proceed,3,4,4,4,4,4,4,3,3,3,4,4,3,3,4,3,2,1,4,4,4,4,4,4,4,3,4,4,1,4,3,4,4,2,3,3,4,2,3,3,135,107,8 minutes 8 seconds
